변수,중요도,표준편차
전일_판매수량,0.34273701566133524,0.007897128534230373
상품명,0.16383803693964094,0.004964791009495282
상품코드,0.12323681497614111,0.002947888547186245
매장면적,0.03530914237883258,0.0025267202653329276
최근14일_평균판매,0.02213316578022455,0.00034098930926534314
최근7일_평균판매,0.016779232389911435,0.00046603712823079115
날씨유형명,0.009947533210058502,0.0024291210280290446
요일명,0.006197674289448907,0.0030587227329113816
재고추정_D1,0.004950146325567117,0.00030654674645470137
소분류,0.0048415517447595756,0.0008405105797703689
상품취급경과일,0.004533101836516474,0.0015057035898618457
동요일_4주_평균판매,0.003820187785314966,5.522932234173265e-05
데이터경과일,0.0036871790530411007,0.0015209439257064645
월,0.0035403020464624736,0.00205558286633913
평균온도,0.003112413394738489,0.0004695722495422784
최근7일_발주합계,0.0018469935628144807,0.00024496025327220986
참고_당일실제발주수량,0.0017002835641708903,8.070349899387507e-05
강수량,0.001181485520649228,0.0005724141127839876
직전발주후_경과일,0.0011253409093864963,0.0007009604030877651
전일_발주수량,0.00099953806869153,0.00012049299646841276
주말여부,0.0004535010229487879,0.0016587147853631017
공휴일여부,7.562473284594695e-06,5.1388477379971656e-05
전일_폐기수량,5.231356760782013e-06,2.0108752839946622e-06
최근7일_폐기합계,-0.002086970093277585,0.00028427337115373446
최근14일_판매발생일수,-0.0035283145122250613,0.002609545868493011
