변수,중요도
요일명,0.2654501611835669
전일_판매수량,0.21073955843113984
매장면적,0.052178104863976185
상품코드,0.03818065566257609
상품명,0.02878296796155797
재고추정_D1,0.02321930135388355
소분류,0.022095383238690515
상품취급경과일,0.017637419510849517
직전발주후_경과일,0.01747181613373412
데이터경과일,0.013040263194383273
강수량,0.011238742394882605
주말여부,0.011156900984908912
최근14일_판매발생일수,0.00645829632233863
동요일_4주_평균판매,0.006077928002983723
월,0.0043819378684213815
날씨유형명,0.0037240396459677695
전일_발주수량,0.0033141905877793754
최근7일_발주합계,0.001373008000537701
최근14일_평균판매,0.000644920629342094
전일_폐기수량,2.353449506617977e-05
최근7일_평균판매,1.070712286412867e-05
공휴일여부,-6.832297274126376e-05
평균온도,-7.525817767461973e-05
최근7일_폐기합계,-0.00041865677572963114
