점포코드,점포명,매장면적,입지유형,개점일자,관측일수
40724,부평탑클래스점,133.03,01,20210729,123
51688,예술공원사거리점,176.55,02,20250218,123
53040,뉴구월아시아드점,122.08,02,20250807,123
48505,사동최고점,158.81,02,20240131,123
51698,구운센터점,143.74,02,20250228,123
47120,명지드림점,140.58,02,20230818,123
55134,신촌피어점,155.53,02,20260618,83
46092,홍제한빛점,143.05,02,20230504,123
54885,탑동중앙점,171.44,02,20260515,115
54816,시흥에이스점,156.88,02,20260429,123
43697,고척대우점,151.7,02,20220720,123
46495,마포성제점,175.84,01,20230615,123
55230,연수동남점,141.27,02,20260627,72
54101,수원안다미로점,152.34,07,20260111,123
50219,안양그랜드점,165.85,02,20240820,123
52827,만수주공6단지점,280.09,02,20250703,123
44622,부개코오롱하늘채점,167.27,02,20221109,123
44596,홍대피카소점,226.78,07,20221031,123
55458,수원영통점,135.6,02,20260731,36
